produkt,cena,ilosc,rng
Produkt E,750,39,0.76
Produkt A,577,3,0.68
Produkt C,150,19,0.57
Produkt E,609,83,0.06
Produkt A,328,96,0.36
Produkt D,655,83,0.41
I Do pieca,301,95,0.24
Produkt D,708,16,0.44
Produkt B,629,76,0.68
Produkt D,476,41,0.75
Produkt D,602,47,0.61
Produkt E,837,60,0.84
Produkt C,620,92,0.7
Produkt A,930,57,0.4
I Do pieca,826,82,0.94
Produkt A,818,93,0.06
Produkt D,102,51,0.94
Produkt B,689,40,0.15
Produkt D,726,2,0.75
Produkt D,69,46,0.28
Produkt B,823,69,0.79
67,746,96,0.54
Produkt D,987,69,0.47
Produkt B,950,99,0.1
Produkt B,646,94,0.12
Produkt A,223,18,0.84
Produkt A,212,9,0.65
Produkt C,678,16,0.16
Produkt C,306,35,0.88
Produkt A,795,30,0.34
Produkt A,391,91,0.53
Produkt C,344,49,0.71
Produkt A,420,41,0.36
Produkt D,725,64,0.27
Produkt A,179,2,0.44
Produkt B,407,3,0.29
Produkt B,536,90,0.97
Produkt D,417,94,0.4
Produkt D,759,80,0.68
Produkt A,601,85,0.42
Produkt E,204,74,0.01
Produkt A,476,63,0.72
Produkt B,670,63,0.06
Produkt B,23,2,0.63
Produkt C,232,48,0.29
Produkt A,848,6,0.03
Produkt D,463,74,0.74
Produkt B,462,79,0.26
Produkt D,180,63,0.67
Produkt C,22,2,0.73
Produkt A,935,32,0.23
Produkt B,336,86,0.4
Produkt C,270,31,0.19
Produkt A,504,65,0.05
Produkt B,671,87,0.59
Produkt C,213,60,0.69
Produkt C,253,79,0.13
Produkt A,822,I Do pieca,1.0
Produkt C,919,15,0.73
Produkt E,962,7,0.22
Produkt E,292,74,0.08
Produkt D,794,71,0.51
Produkt C,98,1,0.31
Produkt D,373,34,0.17
I Do pieca,44,48,0.4
Produkt C,435,57,0.67
Produkt D,611,42,0.58
Produkt A,60,54,0.76
Produkt D,801,64,0.35
Produkt C,261,47,0.53
Produkt D,210,5,0.86
Produkt A,176,61,0.98
Produkt B,946,8,0.75
Produkt B,757,71,0.14
Produkt C,897,36,0.29
Produkt D,464,39,0.77
Produkt D,889,53,0.53
Produkt E,458,42,0.54
Produkt D,901,34,0.84
Produkt D,727,10,0.81
Produkt A,298,82,0.47
Produkt A,365,57,0.81
Produkt B,880,10,0.32
Produkt E,766,88,0.73
Produkt C,791,37,0.92
Produkt D,450,89,0.06
Produkt A,187,78,0.18
Produkt C,961,79,0.25
Produkt A,625,71,0.8
Produkt C,594,69,0.65
Produkt B,357,38,0.07
Produkt B,122,18,0.94
Produkt C,190,71,0.23
Produkt D,102,65,0.68
Produkt D,227,23,0.09
Produkt D,709,74,0.77
Produkt D,770,58,0.16
Produkt C,576,49,0.03
Produkt C,355,46,0.88
Produkt C,386,56,0.66
Produkt A,350,82,0.81
Produkt C,807,40,0.38
Produkt E,484,97,0.25
Produkt E,56,83,0.34
I Do pieca,725,92,0.78
Produkt C,642,74,0.44
Produkt A,696,24,0.92
Produkt B,327,25,0.25
Produkt A,511,88,0.71
Produkt D,351,33,0.52
Produkt B,45,13,0.5
Produkt D,350,14,0.19
Produkt C,77,23,0.5
Produkt A,47,21,0.89
Produkt B,472,77,0.03
Produkt D,147,98,0.51
Produkt A,910,45,0.31
Produkt B,563,34,0.4
Produkt C,454,98,0.72
Produkt C,653,97,0.63
Produkt A,417,16,0.2
Produkt C,971,6,0.26
Produkt D,979,1,0.21
Produkt A,754,98,0.39
Produkt C,554,20,0.33
Produkt A,957,100,0.86
Produkt A,920,78,0.76
Produkt A,396,71,0.38
Produkt B,992,28,0.01
Produkt B,701,76,0.32
Produkt B,127,84,0.35
Produkt C,590,50,0.63
Produkt D,711,56,0.97
Produkt C,167,17,0.31
Produkt D,233,20,0.36
Produkt A,839,92,0.17
Produkt A,923,95,0.98
Produkt E,800,94,0.46
Produkt C,698,3,0.14
Produkt C,75,84,0.94
Produkt E,246,8,0.39
Produkt C,239,3,0.7
Produkt C,364,52,0.74
Produkt A,280,89,0.42
Produkt D,912,100,0.29
67,906,94,0.29
Produkt D,928,92,0.46
Produkt A,300,34,0.34
Produkt E,504,54,0.22
I Do pieca,688,27,0.22
Produkt C,983,22,0.6
Produkt E,508,15,0.03
Produkt B,253,7,0.26
Produkt D,196,25,0.27
Produkt D,797,40,0.22
Produkt E,434,62,0.27
Produkt C,4,32,0.55
Produkt E,377,18,0.77
Produkt A,206,5,0.98
Produkt A,994,34,0.28
Produkt D,106,98,0.5
Produkt E,887,38,0.31
Produkt D,698,37,0.15
Produkt A,327,5,0.12
Produkt A,405,51,0.87
Produkt A,695,96,0.67
Produkt D,850,38,0.14
Produkt B,975,40,0.61
Produkt A,260,7,0.1
Produkt C,219,92,0.96
Produkt C,69,16,0.88
Produkt E,358,87,0.66
Produkt D,802,2,0.4
Produkt D,562,63,0.32
Produkt C,299,79,0.64
I Do pieca,362,78,0.29
Produkt B,18,63,0.65
67,972,63,0.34
Produkt D,95,99,0.15
Produkt C,963,23,0.76
Produkt D,786,66,0.02
I Do pieca,535,61,0.59
Produkt B,954,63,0.32
Produkt A,184,37,0.34
Produkt A,670,18,0.31
Produkt D,935,99,0.31
Produkt B,792,4,0.56
Produkt D,447,62,0.91
Produkt B,411,51,0.33
67,635,23,0.04
Produkt D,440,44,0.54
I Do pieca,746,58,0.93
Produkt E,252,62,0.5
Produkt D,37,75,0.84
Produkt C,454,27,0.66
Produkt B,77,76,0.05
Produkt C,793,92,0.28
I Do pieca,252,22,0.89
I Do pieca,638,80,0.28
Produkt E,277,26,0.95
Produkt B,606,23,0.56
Produkt B,186,59,0.19
Produkt D,943,15,0.76
Produkt A,878,27,0.73
Produkt E,87,70,0.47
Produkt A,903,81,0.47
Produkt D,88,72,0.89
Produkt A,233,35,0.19
Produkt A,746,87,0.85
Produkt D,313,62,0.82
Produkt A,845,26,0.89
Produkt A,917,51,0.63
Produkt E,815,1,0.93
Produkt B,751,91,0.62
I Do pieca,959,56,0.94
Produkt B,139,35,0.61
Produkt A,775,22,0.3
Produkt A,389,61,0.95
Produkt C,881,46,0.83
Produkt A,293,42,0.86
Produkt A,809,13,0.73
Produkt E,39,65,0.22
Produkt E,965,53,0.19
Produkt D,344,57,0.91
Produkt C,398,40,0.3
Produkt A,835,9,0.69
Produkt C,68,44,0.06
Produkt C,758,37,0.04
I Do pieca,345,16,0.01
Produkt C,103,95,0.18
Produkt A,406,5,0.39
Produkt C,243,86,0.67
Produkt B,356,44,0.26
Produkt E,150,9,0.76
Produkt B,613,84,0.94
Produkt C,669,98,0.94
Produkt D,586,84,0.37
Produkt D,936,75,0.89
Produkt D,53,4,0.19
Produkt B,67,69,0.22
Produkt D,215,25,0.43
Produkt B,135,94,0.66
Produkt B,493,57,0.63
Produkt E,336,54,0.44
Produkt C,131,55,0.59
I Do pieca,902,93,0.26
Produkt B,664,38,0.81
Produkt A,46,91,0.76
67,944,40,0.44
Produkt C,438,17,0.18
Produkt C,720,40,0.78
I Do pieca,348,35,0.36
Produkt B,272,29,0.49
67,899,24,0.88
Produkt E,262,8,0.29
Produkt C,935,30,0.46
Produkt A,677,63,0.27
Produkt B,879,66,0.58
Produkt B,510,50,0.71
Produkt B,661,79,0.73
67,926,67,0.23
I Do pieca,261,2,0.84
Produkt D,373,38,0.32
Produkt C,460,85,0.61
Produkt E,868,74,0.3
67,821,96,0.41
I Do pieca,871,91,0.09
Produkt B,111,66,0.63
Produkt B,920,57,0.67
I Do pieca,423,63,0.33
Produkt A,394,54,0.99
Produkt A,545,78,0.92
Produkt C,186,81,0.7
Produkt E,180,7,0.85
Produkt D,232,100,0.14
Produkt E,974,9,0.71
Produkt D,819,48,0.85
Produkt B,883,12,0.77
Produkt D,463,66,0.04
Produkt B,172,1,0.44
Produkt B,972,35,0.8
Produkt D,267,85,0.02
Produkt D,129,36,0.16
Produkt C,641,6,0.02
I Do pieca,639,84,0.42
Produkt D,376,69,0.91
Produkt B,241,31,0.92
Produkt D,368,53,0.43
Produkt D,30,49,0.98
Produkt E,96,8,0.18
Produkt D,487,70,0.03
Produkt C,154,61,0.59
Produkt B,205,63,0.54
Produkt D,705,67,0.18
67,969,79,0.98
Produkt B,100,8,0.38
Produkt C,511,99,0.1
Produkt A,819,89,0.83
Produkt A,43,69,0.89
Produkt B,852,17,0.62
Produkt A,758,18,0.77
Produkt C,625,98,0.91
Produkt C,326,37,0.12
Produkt A,784,45,0.89
Produkt D,274,9,0.81
Produkt A,974,87,0.68
Produkt E,826,41,0.52
Produkt C,45,11,0.35
Produkt D,306,82,0.63
Produkt A,616,57,0.22
Produkt C,187,49,0.46
Produkt E,601,14,0.82
Produkt A,774,19,0.5
Produkt C,13,55,0.37
Produkt D,301,14,0.58
Produkt D,942,81,0.69
Produkt D,59,74,0.92
Produkt B,32,31,0.24
Produkt D,70,80,0.67
Produkt A,583,10,0.14
Produkt B,478,88,0.78
Produkt B,374,46,0.29
Produkt D,175,81,0.67
I Do pieca,613,46,0.46
Produkt D,793,22,0.65
Produkt B,523,41,0.76
Produkt B,856,48,0.55
Produkt D,286,76,0.04
Produkt C,109,12,0.62
Produkt D,564,61,0.37
Produkt E,887,58,0.63
Produkt B,832,65,0.83
Produkt C,656,30,0.77
Produkt D,503,97,0.59
Produkt B,545,12,0.3
Produkt C,715,56,0.39
Produkt D,706,86,0.33
I Do pieca,908,58,0.94
Produkt A,461,96,0.63
Produkt C,972,86,0.29
Produkt E,749,60,0.71
Produkt C,833,36,0.33
Produkt C,751,56,0.12
Produkt C,957,39,0.77
Produkt B,643,31,0.5
Produkt B,193,5,0.75
Produkt C,584,60,0.18
Produkt D,84,2,0.48
Produkt D,609,15,0.97
I Do pieca,793,75,0.39
Produkt D,112,53,0.07
Produkt C,925,66,0.16
Produkt C,529,44,0.16
Produkt D,814,54,0.71
Produkt C,854,29,0.51
Produkt C,473,24,0.39
Produkt A,182,91,0.38
Produkt A,146,64,0.09
Produkt A,247,28,0.29
Produkt C,482,62,0.6
Produkt C,936,65,0.87
Produkt D,393,74,0.31
Produkt E,202,97,0.67
Produkt A,36,60,0.56
Produkt E,831,47,0.54
Produkt D,947,49,0.56
67,504,76,0.91
Produkt C,278,49,0.85
Produkt B,848,73,0.5
Produkt C,224,72,0.62
Produkt D,172,40,0.04
Produkt D,998,67,0.28
Produkt A,93,1,0.5
Produkt B,603,95,0.69
Produkt A,406,61,0.41
Produkt B,342,8,0.57
67,Produkt B,86,0.01
I Do pieca,955,56,0.61
Produkt D,614,81,0.28
Produkt E,586,72,0.3
Produkt E,824,86,0.93
Produkt A,Produkt B,29,0.01
Produkt A,326,31,0.86
Produkt A,962,68,0.95
I Do pieca,381,49,0.66
Produkt C,852,34,0.66
Produkt E,731,11,0.59
Produkt A,670,55,0.48
Produkt E,196,22,0.97
67,394,42,0.87
Produkt C,421,27,0.11
Produkt D,514,81,0.06
Produkt B,740,60,0.8
Produkt C,138,3,0.35
Produkt D,42,76,0.41
Produkt D,198,32,0.61
Produkt C,94,16,0.91
Produkt C,742,37,0.87
Produkt A,957,41,0.03
Produkt D,948,37,0.53
Produkt C,694,32,0.97
Produkt D,46,56,0.94
Produkt B,310,82,0.78
Produkt A,921,33,0.89
Produkt C,942,58,0.53
Produkt B,416,13,0.81
Produkt D,599,75,0.77
Produkt C,356,51,0.44
Produkt A,805,62,0.1
Produkt C,776,97,0.48
Produkt A,190,58,0.02
Produkt D,798,79,0.73
Produkt D,868,85,0.44
Produkt C,410,94,0.84
Produkt C,87,77,0.2
Produkt C,81,99,0.17
I Do pieca,947,65,0.67
Produkt C,708,53,0.56
Produkt A,538,26,0.6
I Do pieca,130,16,0.87
Produkt A,219,77,0.2
Produkt C,280,25,0.33
Produkt A,392,61,0.8
Produkt D,188,45,0.25
Produkt A,429,12,0.1
Produkt D,272,41,0.84
Produkt A,155,16,0.81
Produkt E,784,39,0.78
Produkt D,763,85,0.82
Produkt D,128,5,0.49
Produkt B,107,3,0.81
Produkt B,753,90,0.75
Produkt D,540,68,0.53
Produkt A,250,93,0.17
Produkt A,351,42,0.33
Produkt C,92,35,0.08
Produkt A,922,8,0.13
Produkt C,233,68,0.42
Produkt B,617,44,0.92
Produkt D,731,33,0.52
Produkt A,427,33,0.08
67,310,76,0.29
Produkt B,773,31,0.31
Produkt A,498,9,0.42
Produkt C,798,32,0.37
Produkt A,125,85,0.38
Produkt D,549,11,0.25
Produkt E,782,46,0.28
Produkt C,254,20,0.17
Produkt E,827,82,0.56
Produkt B,959,69,0.91
Produkt B,296,87,0.99
Produkt E,197,54,0.79
Produkt A,780,46,0.05
Produkt C,811,23,0.68
Produkt D,810,88,0.52
Produkt B,686,39,0.05
I Do pieca,312,10,0.09
Produkt C,774,30,0.31
Produkt B,920,94,0.04
Produkt A,982,85,0.32
Produkt A,126,19,0.22
Produkt C,722,53,0.05
I Do pieca,484,100,0.7
Produkt C,293,74,0.59
Produkt B,997,61,0.96
Produkt D,130,50,0.26
67,311,19,0.03
Produkt A,915,4,0.39
Produkt A,359,72,0.73
Produkt A,847,100,0.61
Produkt E,279,67,0.35
67,233,55,0.4
Produkt A,350,56,0.6
Produkt B,349,82,0.16
67,577,62,0.86
I Do pieca,599,72,0.34
Produkt B,842,97,0.26
Produkt C,147,2,0.49
Produkt D,315,54,0.83
Produkt E,982,19,0.02
Produkt C,603,13,0.09
Produkt A,348,89,0.42
Produkt C,419,49,0.11
Produkt C,357,100,0.23
Produkt D,463,61,0.84
Produkt B,448,13,0.64
Produkt B,134,9,0.13
Produkt C,590,50,0.62
I Do pieca,926,39,0.8
Produkt A,444,20,0.77
Produkt D,985,50,0.74
Produkt C,640,79,0.91
Produkt D,815,20,0.63
Produkt D,709,10,0.06
Produkt E,752,73,0.09
Produkt A,10,97,0.14
Produkt C,225,80,0.53
Produkt B,900,96,0.93
I Do pieca,869,12,0.87
Produkt A,985,63,0.35
I Do pieca,959,1,0.29
Produkt D,589,94,0.65
67,633,67,0.66
Produkt A,119,20,0.52
Produkt B,162,27,0.15
Produkt A,337,8,0.92
Produkt E,958,79,0.42
Produkt B,153,31,0.78
Produkt A,809,41,0.83
I Do pieca,208,96,0.51
Produkt A,513,94,0.17
67,805,61,0.63
I Do pieca,42,59,0.75
Produkt D,223,85,0.32
Produkt B,201,93,0.54
Produkt C,196,64,0.75
Produkt C,766,13,0.16
Produkt E,449,86,0.39
Produkt C,367,86,0.87
I Do pieca,220,56,0.47
Produkt D,652,16,0.75
Produkt E,210,56,0.09
Produkt C,890,20,0.86
Produkt E,810,95,0.44
Produkt D,460,13,0.32
Produkt C,546,15,0.68
Produkt C,540,11,0.79
Produkt B,641,63,0.67
Produkt B,Produkt D,27,0.01
Produkt A,566,24,0.66
Produkt E,717,59,0.99
Produkt C,240,100,0.74
Produkt C,513,12,0.17
Produkt B,179,50,0.45
I Do pieca,184,10,0.93
Produkt C,792,35,0.02
Produkt E,272,100,0.52
Produkt E,813,45,0.13
Produkt A,952,40,0.41
Produkt B,916,29,0.82
Produkt E,464,32,0.67
Produkt A,876,87,0.06
Produkt B,215,15,0.03
Produkt E,854,36,0.06
Produkt B,273,54,0.76
Produkt A,505,14,0.89
Produkt E,491,26,0.97
Produkt C,988,88,0.05
Produkt B,860,60,0.49
Produkt C,540,11,0.52
Produkt B,437,81,0.16
Produkt C,715,81,0.99
Produkt D,499,82,0.3
Produkt E,935,38,0.57
Produkt B,865,80,0.57
Produkt C,995,49,0.8
I Do pieca,569,2,0.04
Produkt A,313,58,0.98
Produkt C,419,62,0.24
Produkt B,306,22,0.71
Produkt B,95,44,0.65
Produkt B,762,53,0.18
Produkt B,889,62,0.07
Produkt A,974,84,0.81
Produkt D,70,83,0.66
Produkt C,92,39,0.94
Produkt D,435,29,0.49
Produkt C,326,98,0.67
I Do pieca,438,5,0.93
Produkt A,407,44,0.91
Produkt E,925,70,0.1
I Do pieca,1,25,0.48
Produkt A,560,69,0.93
Produkt E,370,4,0.85
Produkt B,653,72,0.46
Produkt A,745,54,0.08
Produkt C,642,23,0.68
Produkt B,420,83,0.3
Produkt D,888,73,0.46
Produkt B,926,56,0.72
Produkt D,600,54,0.3
Produkt D,305,49,0.77
Produkt B,878,6,0.08
Produkt B,323,84,0.11
Produkt E,798,98,0.64
Produkt A,838,40,0.31
Produkt D,557,42,0.4
Produkt B,664,19,0.04
Produkt C,34,16,0.07
Produkt A,929,63,0.9
Produkt C,383,18,0.29
Produkt D,77,77,0.02
Produkt C,213,58,0.56
Produkt A,383,64,0.73
Produkt A,971,8,0.13
Produkt A,4,97,0.73
Produkt A,527,50,0.36
I Do pieca,340,12,0.06
I Do pieca,433,85,0.63
Produkt E,955,53,0.4
Produkt D,286,22,0.54
Produkt A,598,3,0.14
Produkt B,799,90,0.3
Produkt C,322,25,0.34
Produkt C,968,28,0.17
Produkt C,231,55,0.74
Produkt D,481,17,0.75
Produkt B,489,32,0.69
Produkt A,725,86,0.8
Produkt C,316,76,0.6
Produkt A,358,63,0.69
Produkt C,582,36,0.65
Produkt B,900,27,0.91
Produkt C,711,61,0.58
Produkt A,532,76,0.39
Produkt B,349,97,0.12
Produkt B,514,81,0.18
Produkt D,893,2,0.62
Produkt D,726,71,0.06
Produkt D,529,26,0.41
I Do pieca,863,70,0.35
Produkt E,224,100,0.52
Produkt D,458,35,0.77
Produkt C,395,36,0.52
Produkt B,428,7,0.1
Produkt B,622,39,0.41
Produkt C,696,8,0.96
I Do pieca,212,19,0.86
Produkt C,217,37,0.75
Produkt D,392,63,0.87
Produkt C,373,6,0.82
Produkt A,478,22,0.31
Produkt A,726,82,0.74
Produkt A,799,79,0.94
Produkt D,690,100,0.2
Produkt D,749,23,0.01
Produkt E,685,25,0.46
Produkt D,611,97,0.68
Produkt D,701,74,0.15
Produkt B,270,80,0.92
Produkt C,202,1,0.25
Produkt B,176,56,0.01
Produkt C,493,73,0.78
Produkt E,401,99,0.27
Produkt C,739,47,0.17
Produkt B,753,55,0.98
Produkt B,976,17,0.46
Produkt A,756,21,0.69
Produkt A,976,17,0.2
Produkt A,291,58,0.37
Produkt C,985,73,0.41
Produkt A,276,40,0.03
Produkt B,574,85,0.12
Produkt B,562,41,0.49
Produkt D,61,40,0.91
Produkt C,98,60,0.11
Produkt D,277,79,0.53
Produkt A,220,17,0.06
Produkt B,432,10,0.24
Produkt B,158,1,0.69
Produkt E,772,94,0.56
Produkt B,585,16,0.61
Produkt B,141,16,0.64
Produkt A,156,27,0.46
Produkt B,493,30,0.66
I Do pieca,587,24,0.81
Produkt B,201,67,0.93
Produkt D,915,1,0.44
Produkt D,150,43,0.24
Produkt B,715,11,0.8
Produkt D,911,9,0.04
Produkt B,194,17,0.78
Produkt A,558,94,0.02
Produkt C,870,29,0.86
Produkt A,300,57,0.94
Produkt A,561,22,0.26
I Do pieca,703,17,0.31
I Do pieca,806,59,0.24
Produkt D,617,30,0.84
Produkt D,62,90,0.37
Produkt B,568,59,0.43
Produkt B,659,7,0.29
Produkt C,737,76,0.42
Produkt C,501,48,0.4
Produkt A,115,92,0.14
Produkt E,247,84,0.97
Produkt D,488,100,0.82
Produkt D,608,7,0.36
Produkt B,560,19,0.64
67,826,42,0.74
Produkt C,716,85,0.59
Produkt E,887,39,0.18
Produkt C,505,87,0.96
Produkt B,636,31,0.1
67,329,57,0.56
Produkt E,578,43,0.59
Produkt C,844,94,0.5
Produkt E,918,11,0.13
Produkt B,249,62,0.75
67,910,53,0.67
Produkt A,292,73,0.28
67,662,100,0.73
Produkt E,934,11,0.78
67,36,38,0.79
Produkt D,379,11,0.1
Produkt A,954,24,0.3
Produkt D,34,19,0.36
I Do pieca,816,85,0.72
Produkt C,387,39,0.48
Produkt D,259,20,0.28
Produkt B,647,44,0.25
Produkt E,302,24,0.7
Produkt A,629,21,0.14
Produkt B,1,96,0.41
Produkt B,568,72,0.37
Produkt D,581,46,0.81
Produkt D,760,52,0.04
Produkt C,88,23,0.16
Produkt B,756,94,0.23
Produkt D,59,13,0.59
Produkt E,886,80,0.5
Produkt D,895,4,0.36
Produkt E,315,10,0.52
Produkt B,801,38,0.6
67,304,28,0.22
Produkt B,764,89,0.22
I Do pieca,751,73,0.03
Produkt C,454,78,0.65
Produkt A,153,20,0.9
Produkt A,814,8,0.28
Produkt C,654,3,0.85
Produkt C,305,47,0.8
Produkt C,13,4,0.7
Produkt B,764,91,0.63
Produkt D,516,99,0.27
Produkt D,995,27,0.9
I Do pieca,117,50,0.5
Produkt D,920,82,0.45
Produkt E,37,1,0.51
Produkt D,587,71,0.32
Produkt B,177,100,0.9
Produkt D,Produkt B,30,0.0
Produkt D,505,90,0.39
Produkt A,795,39,0.75
Produkt E,108,76,0.11
Produkt D,453,74,0.67
67,820,45,0.69
Produkt A,338,21,0.08
Produkt A,478,40,0.15
I Do pieca,454,75,0.15
Produkt A,826,99,0.9
Produkt B,232,83,0.9
Produkt B,624,60,0.27
Produkt D,993,76,0.89
Produkt D,643,47,0.73
67,141,11,0.53
Produkt A,152,9,0.97
Produkt D,930,50,0.03
Produkt B,23,13,0.1
Produkt E,612,88,0.09
Produkt A,825,49,0.15
Produkt E,385,11,0.08
Produkt B,262,93,0.71
I Do pieca,753,29,0.79
Produkt C,757,17,0.33
I Do pieca,147,79,0.05
Produkt A,Produkt C,40,0.0
Produkt C,668,30,0.18
Produkt C,991,52,0.13
Produkt C,627,80,0.02
Produkt D,304,2,0.48
Produkt C,149,8,0.43
67,16,28,0.84
Produkt C,82,41,0.56
Produkt B,618,39,0.5
Produkt D,669,46,0.74
Produkt C,55,98,0.58
Produkt A,945,69,0.28
Produkt A,280,53,0.68
Produkt B,924,25,0.4
Produkt C,89,33,0.46
Produkt C,850,90,0.84
Produkt B,392,24,0.68
Produkt C,488,95,0.31
Produkt C,929,13,0.63
Produkt A,430,7,0.98
Produkt E,462,36,0.98
Produkt A,884,48,0.94
Produkt C,819,33,0.6
Produkt B,403,76,0.61
Produkt E,753,60,0.96
Produkt E,958,12,0.85
Produkt B,193,64,0.42
Produkt D,618,51,0.64
Produkt C,574,25,0.98
Produkt A,917,92,0.8
Produkt A,72,15,0.62
Produkt C,90,38,0.16
Produkt A,209,84,0.42
Produkt B,243,85,0.67
Produkt D,688,24,0.89
Produkt D,787,45,0.48
Produkt A,928,76,0.72
Produkt E,523,23,0.14
Produkt B,635,98,0.42
67,481,56,0.44
Produkt D,460,79,0.36
Produkt D,659,100,0.35
Produkt B,211,63,0.44
Produkt D,625,39,0.02
67,442,22,0.86
I Do pieca,511,68,0.89
Produkt E,865,34,0.33
67,930,27,0.27
Produkt C,660,69,0.04
Produkt C,17,32,0.03
Produkt B,Produkt D,22,0.01
Produkt D,264,70,0.5
I Do pieca,541,2,0.6
Produkt D,178,59,0.52
Produkt C,220,3,0.91
Produkt E,689,52,0.74
Produkt D,615,88,0.39
Produkt D,269,18,0.65
Produkt E,18,98,0.2
Produkt D,943,93,0.08
Produkt E,459,31,0.45
67,203,20,0.68
Produkt A,329,46,0.53
Produkt E,454,73,0.7
Produkt D,391,Produkt C,0.99
Produkt C,811,9,0.37
Produkt C,190,5,0.67
Produkt E,501,41,0.65
Produkt D,49,7,0.55
I Do pieca,418,49,0.2
Produkt C,603,66,0.91
Produkt B,966,60,0.8
Produkt D,749,77,0.58
Produkt B,466,12,0.09
I Do pieca,772,96,0.44
Produkt C,710,68,0.39
Produkt C,892,52,0.03
Produkt A,103,66,0.09
Produkt A,307,9,0.04
Produkt C,26,71,0.81
Produkt B,584,50,0.65
67,195,19,0.06
67,867,67,0.14
Produkt C,646,39,0.44
Produkt A,760,83,0.83
Produkt C,354,59,0.32
Produkt C,466,88,0.82
67,279,54,0.28
Produkt B,618,57,0.22
67,143,47,0.43
I Do pieca,321,32,0.14
Produkt D,912,42,0.02
Produkt A,Produkt A,67,0.0
Produkt E,736,43,0.05
Produkt A,202,25,0.04
I Do pieca,882,83,0.94
Produkt A,17,74,0.84
Produkt C,861,80,0.37
Produkt A,874,13,0.85
Produkt B,151,30,0.24
Produkt C,701,9,0.31
Produkt C,922,85,0.29
Produkt E,37,22,0.45
Produkt A,132,51,0.26
Produkt B,774,17,0.35
Produkt C,650,18,0.63
Produkt C,25,52,0.07
Produkt A,172,28,0.51
Produkt A,428,49,0.76
Produkt A,984,92,0.87
Produkt C,431,16,0.23
Produkt E,242,36,0.8
Produkt D,653,63,0.15
Produkt C,983,1,0.34
Produkt B,94,46,0.09
Produkt C,379,92,0.19
Produkt B,922,75,0.32
Produkt B,239,24,0.36
Produkt D,632,8,0.85
Produkt E,837,66,0.97
Produkt D,112,39,0.48
Produkt E,403,2,0.6
Produkt C,502,10,0.67
Produkt E,845,28,0.81
Produkt D,409,78,0.67
Produkt B,924,63,0.59
I Do pieca,917,79,0.42
Produkt A,746,43,0.21
Produkt E,233,5,0.81
Produkt D,150,95,0.17
Produkt A,861,9,0.22
Produkt B,140,30,0.25
Produkt D,491,22,0.68
Produkt A,280,68,0.1
Produkt E,899,39,0.98
Produkt B,40,87,0.68
Produkt C,786,3,0.3
Produkt D,456,46,0.14
Produkt D,687,64,0.29
Produkt C,919,20,0.86
Produkt B,481,38,0.2
Produkt B,671,28,0.49
Produkt A,947,86,0.93
Produkt A,450,39,0.48
Produkt C,893,86,0.73
Produkt B,606,84,0.09
67,756,84,0.31
Produkt C,277,10,0.47
Produkt C,650,38,0.38
Produkt E,482,61,0.66
Produkt D,700,25,0.53
Produkt C,86,31,0.05
Produkt A,303,73,0.01
Produkt C,530,91,0.49
I Do pieca,736,59,0.66
Produkt E,966,53,0.23
Produkt B,889,73,0.57
Produkt E,907,100,0.55
Produkt E,985,35,0.59
Produkt B,317,6,0.91
Produkt D,388,24,0.82
Produkt B,460,83,0.12
Produkt A,278,2,0.8
Produkt D,91,13,0.16
Produkt A,566,20,0.25
Produkt A,91,45,0.17
Produkt A,406,16,0.48
Produkt C,436,8,0.59
Produkt D,768,31,0.98
Produkt C,616,46,0.52
Produkt C,420,14,0.02
Produkt A,821,36,0.46
Produkt A,372,91,0.26
Produkt A,550,48,0.77
Produkt D,839,87,0.72
Produkt A,88,9,0.54
Produkt B,585,71,0.27
Produkt B,877,99,0.41
Produkt C,Produkt B,49,0.01
Produkt C,113,47,0.4
Produkt A,686,63,0.36
67,365,41,0.96
Produkt C,101,59,0.75
Produkt E,239,28,0.97
Produkt C,173,27,0.29
Produkt D,932,Produkt E,1.0
Produkt C,29,71,0.97
Produkt D,89,4,0.72
Produkt A,627,98,0.87
Produkt C,882,97,0.85
Produkt C,795,52,0.17
Produkt A,882,71,0.07
I Do pieca,60,97,0.56
Produkt A,838,50,0.95
I Do pieca,536,20,0.45
Produkt B,956,15,0.29
Produkt B,315,37,0.28
Produkt C,301,91,0.41
Produkt A,406,28,0.51
Produkt A,622,28,0.57
Produkt E,809,74,0.71
Produkt C,641,26,0.53
Produkt D,100,15,0.64
Produkt B,913,27,0.78
Produkt D,530,61,0.44
Produkt D,911,71,0.46
Produkt C,503,31,0.39
Produkt D,508,14,0.78
Produkt B,571,76,0.65
67,425,3,0.86
Produkt C,818,21,0.05
Produkt D,539,57,0.19
Produkt D,747,33,0.4
I Do pieca,204,79,0.1
Produkt E,425,72,0.43
Produkt D,788,49,0.46
Produkt C,573,93,0.77
Produkt A,13,21,0.55
I Do pieca,884,84,0.04
I Do pieca,178,19,0.44
Produkt C,195,100,0.39
Produkt C,959,61,0.3
Produkt A,289,35,0.69
Produkt D,719,45,0.13
Produkt B,582,10,0.03
Produkt C,79,22,0.85
I Do pieca,692,16,0.82
Produkt B,649,19,0.57
Produkt B,363,14,0.18
Produkt C,515,84,0.74
Produkt B,370,22,0.58
Produkt C,574,41,0.71
Produkt C,686,17,0.45
I Do pieca,641,7,0.47
